"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 16:49:12 BRT 2023","Tue Apr 25 16:49:27 BRT 2023","15523","Cadastro Cedulas","Cadastro","","","","Cadastrar Cedulas",""
"passed","Tue Apr 25 16:45:36 BRT 2023","Tue Apr 25 16:45:48 BRT 2023","11860","Cadastro Imposto Simples","Excluir","","","","Excluir Imposto Simples",""
"passed","Tue Apr 25 16:56:08 BRT 2023","Tue Apr 25 16:56:21 BRT 2023","12605","Cadastro Interpretação de TEF","Cadastro","","","","Cadastrar Interpretação de TEF",""
"passed","Tue Apr 25 16:21:43 BRT 2023","Tue Apr 25 16:21:54 BRT 2023","10973","Cadastro Grupos de notificações","Excluir","","","","Excluir Grupos de notificações",""
"passed","Tue Apr 25 16:19:39 BRT 2023","Tue Apr 25 16:19:55 BRT 2023","15882","Cadastro Associação de notificações","Cadastro","","","","Cadastrar Associação de notificações",""
"passed","Tue Apr 25 16:42:08 BRT 2023","Tue Apr 25 16:42:26 BRT 2023","18196","Cadastro Regras de imposto ISS","Cadastro","","","","Cadastrar Regras de imposto ISS",""
"passed","Tue Apr 25 16:55:22 BRT 2023","Tue Apr 25 16:55:35 BRT 2023","13674","Cadastro Interpretação de texto","Cadastro","","","","Cadastrar Interpretação de texto",""
"passed","Tue Apr 25 16:54:01 BRT 2023","Tue Apr 25 16:54:13 BRT 2023","11574","Cadastro Grupo de Opções","Alterar","","","","Alterar Grupo de Opções",""
"passed","Tue Apr 25 16:16:17 BRT 2023","Tue Apr 25 16:16:42 BRT 2023","24848","Cadastro Mercadoria","Cadastro","","","","Cadastrar Mercadoria",""
"passed","Tue Apr 25 16:09:21 BRT 2023","Tue Apr 25 16:09:32 BRT 2023","11570","Cadastro Empresa","Excluir","","","","Excluir Empresa",""
"passed","Tue Apr 25 16:58:29 BRT 2023","Tue Apr 25 16:58:44 BRT 2023","15017","Cadastro Teclas","Cadastro","","","","Cadastro Teclas",""
"passed","Tue Apr 25 16:41:08 BRT 2023","Tue Apr 25 16:41:29 BRT 2023","21311","Cadastro Exceção COFINS","Cadastro","","","","Cadastro Exceção COFINS",""
"passed","Tue Apr 25 16:37:46 BRT 2023","Tue Apr 25 16:38:00 BRT 2023","13679","Cadastro Exceção IPI","Alterar","","","","Alterar Exceção IPI",""
"passed","Tue Apr 25 16:14:45 BRT 2023","Tue Apr 25 16:15:01 BRT 2023","15842","Cadastro Grupo de informações","Cadastro","","","","Cadastro Grupo de informações",""
"passed","Tue Apr 25 16:03:06 BRT 2023","Tue Apr 25 16:03:23 BRT 2023","17580","Cadastro Clientes PF","Alterar","","","","Alterar cliente PF",""
"passed","Tue Apr 25 16:43:25 BRT 2023","Tue Apr 25 16:43:40 BRT 2023","14270","Cadastro Regras ICMS","Alterar","","","","Alterar Regras ICMS",""
"passed","Tue Apr 25 16:55:35 BRT 2023","Tue Apr 25 16:55:46 BRT 2023","10223","Cadastro Interpretação de texto","Alterar","","","","Alterar Interpretação de texto",""
"passed","Tue Apr 25 16:04:30 BRT 2023","Tue Apr 25 16:04:47 BRT 2023","16538","Cadastro cliente PJ","Excluir","","","","Excluir cliente PJ",""
"passed","Tue Apr 25 16:16:42 BRT 2023","Tue Apr 25 16:16:59 BRT 2023","17145","Cadastro Mercadoria","Alterar","","","","Alterar Mercadoria",""
"passed","Tue Apr 25 16:27:01 BRT 2023","Tue Apr 25 16:27:17 BRT 2023","15867","Cadastro Tipo movimento tesouraria","Cadastro","","","","Cadastrar Tipo movimento tesouraria",""
"passed","Tue Apr 25 16:20:29 BRT 2023","Tue Apr 25 16:20:43 BRT 2023","14349","Cadastro Cadastro de notificação de desconto","Cadastro","","","","Cadastrar Cadastro de notificação de desconto",""
"passed","Tue Apr 25 16:05:01 BRT 2023","Tue Apr 25 16:05:16 BRT 2023","15245","Cadastro Coeficiente","Cadastro","","","","Cadastrar Coeficiente",""
"passed","Tue Apr 25 16:22:20 BRT 2023","Tue Apr 25 16:22:31 BRT 2023","11337","Cadastro Pagamento e Recebimento","Alterar","","","","Alterar Pagamento e Recebimento",""
"passed","Tue Apr 25 16:46:46 BRT 2023","Tue Apr 25 16:47:04 BRT 2023","17732","Cadastro Balança","Cadastro","","","","Cadastrar Balança",""
"passed","Tue Apr 25 16:26:27 BRT 2023","Tue Apr 25 16:26:38 BRT 2023","11255","Cadastro Tabela preços","Alterar","","","","Alterar Tabela preços",""
"passed","Tue Apr 25 16:02:41 BRT 2023","Tue Apr 25 16:03:06 BRT 2023","24830","Cadastro Clientes PF","Cadastro","","","","Cadastrar cliente PF",""
"passed","Tue Apr 25 16:22:03 BRT 2023","Tue Apr 25 16:22:20 BRT 2023","16736","Cadastro Pagamento e Recebimento","Cadastro","","","","Cadastrar Pagamento e Recebimento",""
"passed","Tue Apr 25 16:31:44 BRT 2023","Tue Apr 25 16:31:55 BRT 2023","11152","Cadastro CST de entrada","Alterar","","","","Alterar CST de entrada",""
"passed","Tue Apr 25 16:26:38 BRT 2023","Tue Apr 25 16:26:51 BRT 2023","12849","Cadastro Tabela preços","Excluir","","","","Excluir Tabela preços",""
"passed","Tue Apr 25 16:10:02 BRT 2023","Tue Apr 25 16:10:15 BRT 2023","12915","Cadastro Finalizadora","Alterar","","","","Alterar Finalizadora",""
"passed","Tue Apr 25 16:08:00 BRT 2023","Tue Apr 25 16:08:05 BRT 2023","5210","Cadastro Departamento loja","Botão Arvore","","","","Botão Arvore",""
"passed","Tue Apr 25 16:22:52 BRT 2023","Tue Apr 25 16:23:09 BRT 2023","16862","Cadastro Perfil","Cadastro","","","","Cadastrar Perfil",""
"passed","Tue Apr 25 16:45:58 BRT 2023","Tue Apr 25 16:46:12 BRT 2023","14027","Cadastro Algoritimos","Cadastro","","","","Cadastrar Algoritimos",""
"passed","Tue Apr 25 16:49:58 BRT 2023","Tue Apr 25 16:50:13 BRT 2023","14204","Cadastro Cupom Promocional","Cadastro","","","","Cadastrar Cupom Promocional",""
"passed","Tue Apr 25 16:25:52 BRT 2023","Tue Apr 25 16:26:02 BRT 2023","9651","Cadastro Serviços","Excluir","","","","Excluir Serviços",""
"passed","Tue Apr 25 16:59:42 BRT 2023","Tue Apr 25 16:59:57 BRT 2023","15481","Cadastro Texto","Excluir","","","","Excluir Texto",""
"passed","Tue Apr 25 16:07:43 BRT 2023","Tue Apr 25 16:07:59 BRT 2023","16513","Cadastro Departamento loja","Cadastro","","","","Cadastrar Departamento loja",""
"passed","Tue Apr 25 16:37:01 BRT 2023","Tue Apr 25 16:37:15 BRT 2023","14207","Cadastro Exceção ICMS","Excluir","","","","Excluir Exceção ICMS",""
"passed","Tue Apr 25 16:55:01 BRT 2023","Tue Apr 25 16:55:12 BRT 2023","10734","Cadastro Intermediador","Excluir","","","","Excluir Intermediador",""
"passed","Tue Apr 25 16:04:13 BRT 2023","Tue Apr 25 16:04:30 BRT 2023","16642","Cadastro cliente PJ","Alterar","","","","Alterar cliente PJ",""
"passed","Tue Apr 25 16:18:13 BRT 2023","Tue Apr 25 16:18:29 BRT 2023","15713","Cadastro Produto Sugerido","Cadastro","","","","Cadastro Produto Sugerido",""
"passed","Tue Apr 25 16:20:06 BRT 2023","Tue Apr 25 16:20:19 BRT 2023","12289","Cadastro Associação de notificações","Excluir","","","","Excluir Associação de notificações",""
"passed","Tue Apr 25 16:17:42 BRT 2023","Tue Apr 25 16:17:54 BRT 2023","11343","Cadastro Receita(","Alterar","","","","Alterar Receita(",""
"passed","Tue Apr 25 16:31:55 BRT 2023","Tue Apr 25 16:32:05 BRT 2023","9953","Cadastro CST de entrada","Excluir","","","","Excluir CST de entrada",""
